#,FCODE,SHORTNAME,JJGS,JJJL,SGZT,UPDATETIME,FTYPE,LABEL_NAME_122,LABEL_122_UPDATETIME
1,008241,东财上证50ETF发起式联接C,东财基金,赵肖萌,开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
2,009047,东财创业板ETF发起式联接C,东财基金,赵肖萌,开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
3,008552,东财医药C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,医药,2025-11-28 09:02:13.198564
4,008327,东财通信C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
5,012462,东财龙头家电指数C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,消费,2025-11-28 09:02:13.198564
6,012372,东财中证沪港深互联网ETF发起式联接C,东财基金,吴逸,暂停申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
7,014238,东财中证新能源指数增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,新能源,2025-11-28 09:02:13.198564
8,011631,东财有色增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,新能源,2025-11-28 09:02:13.198564
9,011631,东财有色增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,周期,2025-11-28 09:02:13.198564
10,012320,东财消费电子指数增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
11,012322,东财云计算增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
12,013446,东财中证芯片ETF发起式联接C,东财基金,赵肖萌,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
13,012606,东财中证证券保险指数C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,金融,2025-11-28 09:02:13.198564
14,012341,东财食品饮料指数增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,消费,2025-11-28 09:02:13.198564
15,010993,东财中证500ETF发起式联接C,东财基金,赵肖萌,开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
16,011972,东财中证银行指数C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,金融,2025-11-28 09:02:13.198564
17,015097,东财数字经济混合发起式C,东财基金,冯杰波,开放申购,2026-04-07 00:11:28,混合型-偏股,科技,2025-11-28 09:02:13.198564
18,015279,东财沪深300C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
19,016044,东财中证证券30ETF发起式联接C,东财基金,赵肖萌,开放申购,2026-04-07 00:11:28,指数型-股票,金融,2025-11-28 09:02:13.198564
20,009841,东财量化精选混合C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,混合型-偏股,全市场,2025-11-28 09:02:13.198564
21,159622,创新药ETF东财,东财基金,吴逸,暂停申购,2026-04-07 00:11:28,指数型-股票,医药,2025-11-28 09:02:13.198564
22,010806,东财中证新能源车ETF发起式联接C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,新能源,2025-11-28 09:02:13.198564
23,018089,东财远见成长混合发起式C,东财基金,孙辰阳,开放申购,2026-04-07 00:11:28,混合型-偏股,医药,2025-11-28 09:02:13.198564
24,011668,东财高端制造增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,新能源,2025-11-28 09:02:13.198564
25,011668,东财高端制造增强C,东财基金,杨路炜,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
26,018503,东财中证光伏指数发起式C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,新能源,2025-11-28 09:02:13.198564
27,019386,东财上证科创50指数发起式C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
28,019116,东财卓越成长混合发起式C,东财基金,孙辰阳,开放申购,2026-04-07 00:11:28,混合型-偏股,科技,2025-11-28 09:02:13.198564
29,019114,东财慧心优选混合发起式C,东财基金,罗申,开放申购,2026-04-07 00:11:28,混合型-偏股,科技,2025-11-28 09:02:13.198564
30,019590,东财中证化工指数发起式C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,周期,2025-11-28 09:02:13.198564
31,020829,东财北证50指数发起式C,东财基金,"吴逸,姚楠燕",开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
32,019144,东财景气驱动混合发起式C,东财基金,方一航,开放申购,2026-04-07 00:11:28,混合型-偏股,全市场,2026-04-01 00:02:33.930807
33,018191,东财产业智选混合发起式C,东财基金,朱亮,开放申购,2026-04-07 00:11:28,混合型-偏股,全市场,2025-11-28 09:02:13.198564
34,018189,东财景气成长混合发起式C,东财基金,徐成,开放申购,2026-04-07 00:11:28,混合型-偏股,全市场,2025-11-28 09:02:13.198564
35,159550,互联网ETF东财,东财基金,赵肖萌,暂停申购,2026-04-07 00:11:28,指数型-股票,科技,2025-11-28 09:02:13.198564
36,023864,东财中证A500ETF联接C,东财基金,吴逸,开放申购,2026-04-07 00:11:28,指数型-股票,全市场,2025-11-28 09:02:13.198564
37,025028,东财上证科创50ETF联接C,东财基金,姚楠燕,开放申购,2026-04-07 00:11:28,指数型-股票,科技,2026-01-23 04:02:23.787246
