month,vip_level,vip_asset,total_asset,ratio
2025-06-03,1,121694840508.652,121694840508.652,1.0
2025-06-03,2,82677176280.936,82677176280.936,1.0
2025-06-03,3,125809700906.957,125809700906.957,1.0
2025-06-03,4,176987011990.606,176987011990.606,1.0
2025-06-03,5,109345906545.846,109345906545.846,1.0
2025-06-03,6,44740661473.537,44740661473.537,1.0
2025-07-01,1,83939499533.541,83939499533.541,1.0
2025-07-01,2,56806233648.208,56806233648.208,1.0
2025-07-01,3,86434724836.15,86434724836.15,1.0
2025-07-01,4,120812285140.127,120812285140.127,1.0
2025-07-01,5,74539688457.564,74539688457.564,1.0
2025-07-01,6,30430826639.77,30430826639.77,1.0
2025-08-01,1,84799804028.805,84799804028.805,1.0
2025-08-01,2,57946794113.85,57946794113.85,1.0
2025-08-01,3,89066207564.737,89066207564.737,1.0
2025-08-01,4,125958162049.053,125958162049.053,1.0
2025-08-01,5,79309060586.48,79309060586.48,1.0
2025-08-01,6,32581016912.776,32581016912.776,1.0
2025-09-01,1,90054375389.195,90054375389.195,1.0
2025-09-01,2,62259825566.209,62259825566.209,1.0
2025-09-01,3,96918809631.442,96918809631.442,1.0
2025-09-01,4,139906326824.372,139906326824.372,1.0
2025-09-01,5,89636695851.319,89636695851.319,1.0
2025-09-01,6,38255942441.686,38255942441.686,1.0
